id,alimento,energia_Kcal,energia_KJ,prot_tot_gr,glucidi_tot,lipidi_tot,saturi_tot,fkAllergene,fkTipologiaAlimento
57,"BASILICO [OCIMUM BASILICUM], fresco",40.00,167.00,3.10,5.10,0.80,0.05,15,11
58,"BASILICO, secco macinato",251.00,1050.00,14.40,43.20,4.00,0.27,15,1
59,"BEVANDE GASSATE DIETETICHE",17.00,71.00,2.00,4.30,0.00,0.00,15,1
60,"BIETA [BETA VULGARIS, CV CICLA]",17.00,71.00,1.30,2.80,0.10,0.02,15,11
61,"BIETA IN SCATOLA",31.00,130.00,0.90,5.50,0.10,0.02,15,1
62,BIGNE',318.00,1331.00,4.60,43.00,15.40,7.37,15,2
63,"BIRRA CHIARA",34.00,142.00,0.20,3.50,0.00,0.00,15,1
64,"BIRRA SCURA",30.00,126.00,0.30,3.00,2.00,2.00,15,1
65,"BISCOTTI AL LATTE",417.00,1745.00,13.80,76.10,8.50,1.70,"1, 7",1
66,"BISCOTTI FROLLINI",493.00,2063.00,7.40,68.50,21.00,10.45,1,1
67,"BISCOTTI INTEGRALI",448.00,1874.00,8.50,59.50,19.50,5.96,1,1
68,"BISCOTTI PER L'INFANZIA",417.00,1745.00,13.80,76.10,8.50,2.41,1,1
69,"BISCOTTI 'PETIT BEURRE'",415.00,1736.00,6.00,84.70,8.20,4.67,1,1
70,"BISCOTTI RICOPERTI AL CIOCCOLATO",524.00,2192.00,5.70,67.40,27.60,5.55,1,1
71,"BISCOTTI SAVOIARDO",392.00,1640.00,11.90,69.80,9.20,2.83,1,1
72,"BISCOTTI WAFERS",454.00,1900.00,7.10,77.60,15.00,3.86,1,1
73,"BISCOTTO PER LA PRIMA COLAZIONE",418.00,1749.00,6.60,85.40,7.90,3.06,15,1
74,"BOVINO, CERVELLO",157.00,657.00,9.80,0.80,12.70,2.95,15,7
75,"BOVINO, CUORE",123.00,515.00,16.80,0.50,6.00,2.94,15,7
76,"BOVINO, FEGATO",146.00,611.00,21.00,5.90,4.40,1.62,15,7
77,"BOVINO, LESSATO IN GELATINA, IN SCATOLA",87.00,364.00,13.90,0.00,3.50,1.48,12,7
78,"BOVINO, LINGUA",231.00,967.00,17.10,0.40,18.00,7.71,15,7
79,"BOVINO, LINGUA SALMISTRATA",260.00,1088.00,22.50,0.20,18.80,8.18,15,7
80,"BOVINO, MIDOLLO OSSEO",822.00,3439.00,3.20,0.00,89.90,27.34,15,7
81,"BOVINO, MILZA",107.00,448.00,18.50,0.00,3.70,1.57,15,7
82,"BOVINO, POLMONE",75.00,314.00,14.00,0.00,2.10,0.72,15,7
83,"BOVINO, RENE",118.00,494.00,18.40,0.80,4.60,1.93,15,7
84,"BOVINO, SANGUE",75.00,314.00,17.80,0.80,0.10,0.04,15,7
85,"BOVINO, TRIPPA",108.00,452.00,15.80,0.00,5.00,2.57,15,7
86,BRA,328.00,1372.00,30.70,2.00,22.80,14.15,15,7
87,BRANDY,224.00,937.00,2.00,2.00,0.00,0.00,15,1
88,BRESAOLA,175.00,732.00,34.00,0.00,4.30,1.82,15,15
89,BRIE,319.00,1335.00,19.30,2.00,26.90,16.92,7,6
90,BRIOCHES,413.00,1728.00,7.20,58.40,18.30,10.20,1,3
91,"BRIOCHES CON CREMA",391.00,1636.00,6.90,55.60,17.10,9.44,"1, 7",3
92,"BRIOCHES CON MARMELLATA",394.00,1648.00,6.50,58.40,16.50,9.18,1,3
93,"BROCCOLETTI DI RAPE [BRASSICA RAPA, CV ESCULENTA]",22.00,92.00,2.90,2.00,0.30,0.07,15,11
94,"BROCCOLO A TESTA [BRASSICA OLERACEA, CV BOTRYTIS CAPUT]",27.00,113.00,3.00,3.10,0.40,0.06,15,11
95,"BRODO DI CARNE E VERDURA",5.00,21.00,0.70,0.10,0.20,0.05,15,2
96,"BRODO DI CARNE VARIA",7.00,29.00,1.10,2.00,0.20,0.11,15,2
97,"BRODO DI DADO",3.00,13.00,0.30,0.10,0.40,0.20,15,2
98,"BRODO DI GALLINA",9.00,38.00,0.60,0.60,0.50,0.11,15,2
99,"BRODO VEGETALE",5.00,21.00,0.30,0.30,0.40,0.09,15,2
100,"BUCCIA D'ARANCIA CANDITA",313.00,1310.00,0.20,82.70,0.20,0.02,12,1
101,"BUDINO AL CIOCCOLATO",133.00,556.00,2.70,21.80,4.00,0.71,15,2
102,"BUDINO ALLA VANIGLIA",130.00,544.00,2.30,21.80,3.60,0.57,15,2
103,BURRATA,396.00,1657.00,15.20,5.70,34.90,20.82,7,6
104,BURRINI,517.00,2163.00,22.10,1.60,47.00,27.57,7,6
105,BURRO,758.00,3171.00,0.80,1.10,83.40,48.78,7,6
106,"BURRO DI ARACHIDI",623.00,2607.00,22.60,13.10,53.70,10.62,5,1
107,"CACAO AMARO, IN POLVERE",355.00,1485.00,20.40,11.50,25.60,15.09,15,1
108,"CACAO DOLCE, IN POLVERE, SOLUBILE",349.00,1460.00,4.50,67.70,8.60,5.07,15,1
109,CACIOCAVALLO,439.00,1837.00,37.70,2.10,31.10,19.95,7,6
110,"CACIOCAVALLO AFFUMICATO",439.00,1837.00,37.70,2.10,31.10,19.95,7,6
111,"CACIOTTA AFFUMICATA",364.00,1523.00,27.70,2.10,27.30,17.34,7,6
112,"CACIOTTA ROMANA DI PECORA",364.00,1523.00,27.70,2.10,27.30,17.34,7,6
113,"CACIOTTA TOSCANA",373.00,1561.00,24.60,2.10,29.60,18.37,7,6
114,"CACIOTTINA FRESCA",261.00,1092.00,17.30,2.00,21.30,13.22,7,6
115,"CAFFE' ALL'AMERICANA, in tazza",2.00,8.00,0.10,0.40,0.00,2.00,15,1
116,"CAFFE' BAR, in tazza",4.00,17.00,0.40,0.60,2.00,2.00,15,1
117,"CAFFE' CRUDO, in grani",190.00,795.00,11.20,6.70,13.10,5.16,15,1
118,"CAFFE' DECAFFEINATO, in tazza",4.00,17.00,0.40,0.60,2.00,2.00,15,1
119,"CAFFE' DECAFFEINATO, TOSTATO, MACINATO",287.00,1201.00,10.40,28.50,15.40,6.07,15,1
120,"CAFFE' MOKA, in tazza",4.00,17.00,0.40,0.60,2.00,2.00,15,1
121,"CAFFE' SOLUBILE, DECAFFEINATO, in polvere",224.00,937.00,13.90,42.60,0.20,0.10,15,1
122,"CAFFE' SOLUBILE, DECAFFEINATO, in tazza",2.00,2.00,0.00,2.00,2.00,0.00,15,1
123,"CAFFE' SOLUBILE, in polvere",223.00,933.00,20.40,41.10,2.00,2.00,15,1
124,"CAFFE' SOLUBILE, in tazza",2.00,2.00,0.00,2.00,2.00,0.00,15,1
125,"CAFFE' TOSTATO, MACINATO",287.00,1201.00,10.40,28.50,15.40,6.07,15,1
126,"CALAMARO [LOLIGO VULGARIS]",68.00,285.00,12.60,0.60,1.70,0.30,14,13
127,"CALAMARO SURGELATO",70.00,293.00,13.50,1.00,1.40,0.19,14,14
128,CAMEMBERT,297.00,1243.00,20.90,2.00,23.70,14.91,7,6
129,CANDITI,283.00,1184.00,0.50,75.00,0.00,0.00,12,1
130,"CANNELLA [CINNAMOMUM VERUM e AROMATICUM]",252.00,1054.00,3.90,55.50,3.20,0.65,15,1
131,"CANNOLI ALLA CREMA",369.00,1544.00,6.20,42.20,20.70,9.90,"1, 7",2
132,CAPOCOLLO,450.00,1883.00,20.80,1.40,40.20,18.39,15,7
133,"CAPPERI SOTT'ACETO",20.00,84.00,2.60,2.10,0.10,0.01,12,1
134,"CAPRETTO [CAPRA HIREUS]",122.00,510.00,19.20,0.00,5.00,1.54,15,7
135,"CAPRIOLO [CERVUS spp], COSCIA",103.00,431.00,22.20,0.00,1.60,0.63,15,7
136,"CAPRIOLO [CERVUS spp], SCHIENA",122.00,510.00,22.40,0.60,3.60,1.41,15,7
137,"CARAMELLE ALLA FRUTTA",327.00,1368.00,2.80,84.20,0.00,0.00,15,1
138,"CARAMELLE ALLA MENTA",393.00,1644.00,0.50,102.70,0.70,0.18,15,1
139,"CARAMELLE DURE",343.00,1435.00,2.00,91.60,2.00,0.00,15,1
140,"CARAMELLE MORBIDE, MOU",430.00,1799.00,2.10,71.10,17.20,10.71,15,1
141,"CARCIOFI [CYNARA SCOLYMUS]",22.00,92.00,2.70,2.50,0.20,0.05,15,7
142,"CARCIOFI SURGELATI",38.00,159.00,2.60,3.90,0.40,0.10,15,12
143,"CARCIOFINI SOTT'ACETO",18.00,75.00,2.90,2.70,0.20,0.05,12,1
144,"CARCIOFINI SOTT'OLIO",68.00,285.00,1.80,2.60,5.70,0.67,15,1
145,"CARDI [CYNARA CARDUNCULUS]",10.00,42.00,0.60,1.70,0.10,0.01,15,11
146,"CAROTE [DAUCUS CAROTA]",33.00,138.00,1.10,7.60,0.00,0.00,15,11
147,"CARPA [CYPRINUS CARPIO]",140.00,586.00,18.90,0.00,7.10,1.37,4,13
148,"CASTAGNE [CASTANEA SATIVA]",189.00,791.00,3.50,42.40,1.80,0.31,8,1
149,"CASTAGNE, secche",349.00,1460.00,4.70,80.90,3.00,0.52,8,1
150,"CASTRATO [OVIS AGNUS], CARNE SEMIGRASSA",227.00,950.00,16.80,0.00,17.80,7.93,15,7
151,"CASTRATO, CARNE GRASSA",332.00,1389.00,16.50,0.00,29.50,13.93,15,7
152,"CASTRATO, CARNE MAGRA",122.00,510.00,17.00,0.00,6.00,2.83,15,7
153,"CAVALLO [EQUUS CABALUS]",113.00,473.00,21.70,0.50,2.70,0.97,15,7
154,"CAVALLO, CUORE",146.00,611.00,18.70,0.60,7.70,2.41,15,7
155,"CAVALLO, FEGATO",145.00,607.00,22.40,5.30,4.00,1.47,15,7
156,CAVIALE,252.00,1054.00,18.90,1.90,18.80,4.26,4,13
157,"CAVOLFIORE [BRASSICA OLERACEA, CV BOTRYTIS CAULIFLAURA]",25.00,105.00,3.20,2.70,0.20,0.03,15,11
158,"CAVOLI DI BRUXELLES [BRASSICA OLERACEA, CV GEMMIFERA]",37.00,155.00,4.20,4.30,0.50,0.10,15,11
159,"CAVOLO BROCCOLO VERDE RAMOSO [BRASSICA OLERACEA CV BOTRITYS CIMOSA]",24.00,100.00,3.40,2.00,0.30,0.05,15,11
160,"CAVOLO CAPPUCCIO ROSSO [BRASSICA OLERACEA, CV CAPITATA RUBRA]",20.00,84.00,1.90,2.70,0.20,0.03,15,11
161,"CAVOLO CAPPUCCIO VERDE [BRASSICA OLERACEA, CV CAPITATA ALBA]",19.00,79.00,2.10,2.50,0.10,0.01,15,11
162,"CECI [CICER ARIETINUM], secchi",334.00,1397.00,21.80,54.30,4.90,0.63,15,1
163,"CECI IN SCATOLA",56.00,234.00,4.30,7.20,1.40,0.18,15,1
164,"CEDRO CANDITO",187.00,782.00,0.10,49.40,0.20,0.02,12,1
165,"CEFALO MUGGINE [MUGIL CEPHALUS]",127.00,531.00,15.80,0.70,6.80,1.78,4,13
166,"CEREALI AGGREGATI",342.00,1431.00,10.70,74.90,2.00,0.46,1,1
167,"CERNIA [EPINEPHELUS GUAZA]",80.00,335.00,17.90,0.60,0.70,0.16,4,13
168,"CERNIA DI FONDO [POLYPRION CERNIUM]",125.00,523.00,15.60,0.60,6.70,1.53,4,13
169,"CERNIA SURGELATA",88.00,368.00,17.00,0.60,2.00,0.46,4,13
170,CERTOSINO,268.00,1121.00,17.50,2.00,22.00,13.65,7,6
171,"CETRIOLI [CUCUMIS SATIVUS]",14.00,59.00,0.70,1.80,0.50,0.17,15,11
172,"CETRIOLI IN SALAMOIA",14.00,59.00,0.90,2.60,0.10,0.03,15,1
173,"CETRIOLINI SOTT'ACETO",14.00,59.00,0.90,2.60,0.10,0.03,12,1
174,CHAMPAGNE,76.00,318.00,0.30,1.40,0.00,0.00,15,1
175,CHEDDAR,381.00,1594.00,25.00,0.50,31.00,18.52,7,6
176,"CHERRY BRANDY",255.00,1067.00,2.00,32.60,0.00,0.00,15,1
177,CICCIOLI,523.00,2188.00,40.80,0.00,40.00,16.14,15,1
178,"CICORIA [CICHORIUM INTYBUS]",10.00,42.00,1.40,0.70,0.20,0.05,15,11
179,"CICORIA CATALOGNA [CHICORIUM INTYBUS, CV CATALOGNA]",24.00,100.00,1.80,3.20,0.50,0.12,15,11
180,"CICORIA DA TAGLIO [CHICORIUM INTYBUS, CV BARBA DI FRATE]",12.00,50.00,1.20,1.70,0.10,0.02,15,11
181,"CICORIA WITLOOF [CHICORIUM INTYBUS, CV. WITLOOF]",17.00,71.00,0.70,3.20,0.30,0.07,15,11
182,"CILIEGE [PRUNUS AVIUM]",38.00,159.00,0.80,9.00,0.10,0.02,15,9
183,"CIOCCOLATO AL LATTE",565.00,2364.00,8.90,50.80,37.60,21.93,7,6
184,"CIOCCOLATO BIANCO",529.00,2213.00,8.00,58.30,30.90,18.02,7,6
185,"CIOCCOLATO CON NOCCIOLE",571.00,2389.00,9.30,45.90,40.10,20.15,8,1
186,"CIOCCOLATO FONDENTE",542.00,2268.00,5.80,56.70,34.00,20.25,15,1
187,"CIOCCOLATO GIANDUIA",509.00,2130.00,13.10,52.70,28.80,17.15,15,1
188,"CIPOLLE [ALLIUM CEPA]",26.00,109.00,1.00,5.70,0.10,0.02,15,11
189,"CIPOLLE, secche",313.00,1310.00,10.20,68.60,1.70,0.30,15,1
190,"CIPOLLINE [ALLIUM CEPA, CV PRAECOX]",38.00,159.00,1.30,8.50,0.10,0.02,15,1
191,"CIPOLLINE SOTT'ACETO",24.00,100.00,0.90,4.90,0.20,0.03,12,1
192,"COCA COLA",39.00,163.00,2.00,10.50,0.00,0.00,15,1
193,"COCOMERO [CITRULLUS VULGARIS]",15.00,63.00,0.40,3.70,0.00,0.00,15,9
194,COGNAC,214.00,895.00,2.00,0.90,0.00,0.00,15,1
195,CONFETTI,441.00,1845.00,5.20,71.90,16.70,1.39,15,1
196,"CONIGLIO [ORYCTOLAGUS CUNICULUS], CARNE SEMIGRASSA",138.00,577.00,22.10,0.50,5.30,2.04,15,7
197,"CONIGLIO, CARNE GRASSA",203.00,849.00,18.10,0.40,14.40,5.55,15,7
198,"CONIGLIO, CARNE MAGRA",102.00,427.00,23.70,0.60,0.60,0.23,15,7
199,"CONIGLIO, FRATTAGLIE",147.00,615.00,18.70,0.40,7.90,3.12,15,7
200,"CONO PER GELATO",366.00,1531.00,10.10,78.80,3.30,0.49,1,1
201,COPPA,494.00,2067.00,17.00,0.00,47.30,21.64,15,15
202,"COPPA PARMA",398.00,1665.00,23.60,0.60,33.50,10.98,15,15
203,"CORNED BEEF IN SCATOLA",219.00,916.00,23.20,0.00,14.00,5.88,15,1
204,COTECHINO,450.00,1883.00,17.20,0.00,42.30,14.00,15,1
205,"COTECHINO, cotto",306.00,1280.00,21.10,0.00,24.70,8.18,15,1
206,"COZZA O MITILO [MYTILUS EDULIS]",84.00,351.00,11.70,3.40,2.70,0.52,14,13
207,"CRACKERS AL FORMAGGIO",502.00,2100.00,9.80,62.10,25.50,9.45,"1, 7",1
208,"CRACKERS INTEGRALI",443.00,1854.00,8.80,58.10,17.20,3.08,1,1
209,"CRACKERS NON SALATI",440.00,1841.00,9.50,68.30,16.30,3.13,1,1
210,"CRACKERS SALATI",428.00,1791.00,9.40,80.10,10.00,1.92,1,1
211,"CRACKERS SENZA GRASSI",393.00,1644.00,10.50,79.60,1.60,0.24,1,1
212,CRACOTTE,348.00,1456.00,10.50,78.80,1.20,0.13,15,11
213,CRAUTI,24.00,100.00,1.50,4.00,0.30,0.08,15,1
214,"CREMA DI CACAO E NOCCIOLE",537.00,2247.00,6.90,58.10,32.40,9.92,"8, 7",1
215,"CREMA PER PASTICCERIA",192.00,803.00,4.80,30.70,6.40,2.63,7,6
216,"CREME CARAMEL",109.00,456.00,3.00,20.60,2.20,1.35,"3, 7",2
217,"CRESCIONE [NASTURTIUM OFFICINALIS]",22.00,92.00,3.00,0.40,1.00,0.27,15,11
218,"CROSTATA CON MARMELLATA",339.00,1418.00,4.90,65.50,8.20,4.56,15,2
219,"CRUSCA DI GRANO",206.00,862.00,14.10,26.80,5.50,0.93,1,1
220,"CUMINO [CUMINUM CYMINUM], SEMI",375.00,1569.00,17.80,33.70,22.30,0.72,15,1
221,"DADI PER BRODO",152.00,636.00,15.70,5.00,18.70,9.09,15,2
222,"DADI PER BRODO VEGETALE",253.00,1059.00,13.50,11.60,17.30,4.33,15,2
223,"DAIKON [RAPHUS SATIVUS]",15.00,63.00,0.80,2.90,0.10,0.03,15,11
224,"DATTERI [PHOENIX DACTYLIFERA], freschi",124.00,519.00,1.50,31.30,0.10,0.04,15,1
225,"DATTERI, secchi",253.00,1059.00,2.70,63.10,0.60,0.25,15,1
226,"DENTICE [DENTEX DENTEX]",101.00,423.00,16.70,0.70,3.50,0.45,4,13
227,"DENTICE SURGELATO",103.00,431.00,17.20,0.70,3.50,0.45,4,14
228,"DOLCE VERDE",266.00,1113.00,19.10,2.50,20.00,12.41,15,6
229,"DOLCIFICANTE A BASE DI SACCARINA",397.00,1661.00,0.00,98.60,0.00,0.00,7,1
230,"DOLCIFICANTE ASPARTAME",400.00,1674.00,0.00,97.50,0.00,0.00,15,1
231,"DOLCIFICANTE FRUTTOSIO",400.00,1674.00,0.00,99.50,0.00,0.00,15,1
232,"DOLCIFICANTE SACCARINA",0.00,0.00,0.00,0.00,0.00,0.00,15,1
233,"EDAM STAGIONATO",345.00,1443.00,29.00,1.00,25.00,15.80,7,6
234,"EDAM, FRESCO",306.00,1280.00,26.00,1.00,22.00,13.14,7,6
235,EMMENTHAL,403.00,1686.00,28.50,3.60,30.60,18.40,7,6
236,"ERBA CIPOLLINA [ALLIUM SCHOENOPRASUM], fresca",23.00,96.00,2.80,1.70,0.60,0.12,15,1
237,"ESTRATTO DI CARNE BOVINA",219.00,916.00,54.00,0.00,0.40,0.17,15,1
238,"FAGIANO [PHASIANUS COLCHICUS]",144.00,602.00,24.30,0.00,5.20,1.51,15,7
239,"FAGIOLI [PHASEOLUS VULGARIS]",104.00,435.00,6.40,19.40,0.60,0.12,15,11
240,"FAGIOLI ADUKI [VIGNA ANGULARIS], secchi",272.00,1138.00,19.90,50.10,0.50,0.19,15,1
241,"FAGIOLI IN SCATOLA",43.00,180.00,4.10,6.30,0.50,0.10,15,1
242,"FAGIOLI MUNG [PHASEOLUS AUREUS], secchi",279.00,1167.00,23.90,46.30,1.10,0.22,15,1
243,"FAGIOLI, secchi",311.00,1301.00,23.60,51.70,2.50,0.50,15,1
244,"FAGIOLINI [PHASEOLUS VULGARIS]",17.00,71.00,2.10,2.40,0.10,0.02,15,11
245,"FAGIOLINI IN SCATOLA",22.00,92.00,1.50,4.10,0.10,0.02,15,1
246,"FARAONA [NUMIDA MELEAGRIS]",158.00,661.00,23.40,0.00,6.50,1.77,15,7
247,"FARAONA, COSCIA",114.00,477.00,24.30,0.20,1.80,0.58,15,7
248,"FARAONA, PETTO",107.00,448.00,25.10,0.00,0.70,0.23,15,7
249,"FARINA DI AVENA",388.00,1623.00,12.60,72.90,7.10,1.24,1,4
250,"FARINA DI CASTAGNE",323.00,1351.00,5.80,71.60,3.70,0.64,8,1
251,"FARINA DI CECI",334.00,1397.00,21.80,54.30,4.90,0.63,15,4
252,"FARINA DI COCCO",604.00,2527.00,5.60,6.40,62.00,53.27,15,4
253,"FARINA DI FRUMENTO, INTEGRALE",321.00,1343.00,11.90,68.40,1.90,0.43,1,4
254,"FARINA DI FRUMENTO, TIPO ",343.00,1435.00,11.50,76.90,1.00,0.23,1,4
255,"FARINA DI FRUMENTO, TIPO ",343.00,1435.00,11.00,78.00,0.70,0.16,1,4
256,"FARINA DI GRANO DURO",304.00,1272.00,12.60,61.10,2.80,0.51,1,4
257,"FARINA DI GRANO SARACENO",364.00,1523.00,8.10,84.90,1.50,0.33,15,4
258,"FARINA DI MAIS",365.00,1527.00,8.70,81.50,2.70,0.34,15,4
259,"FARINA DI ORZO",360.00,1506.00,10.60,80.00,1.90,0.40,1,4
260,"FARINA DI RISO",363.00,1519.00,7.30,87.80,0.50,0.14,15,4
261,"FARINA DI SEGALE, integrale",335.00,1402.00,8.20,75.90,2.00,0.23,1,4
262,"FARINA DI SEGALE, semi0integrale",316.00,1322.00,8.30,67.80,1.30,0.15,1,4
263,"FARINA DI SOIA, a basso contenuto lipidico",352.00,1473.00,45.30,28.20,7.20,1.00,6,4
264,"FARINA DI SOIA, intera",447.00,1870.00,36.80,23.50,23.50,3.30,6,4
265,"FARINA LATTEA",415.00,1736.00,13.20,81.50,6.30,3.00,7,6
266,"FAVE [VICIA FABA]",37.00,155.00,5.40,4.20,0.20,0.03,13,11
267,"FAVE SECCHE",342.00,1431.00,27.20,55.30,3.00,0.50,13,1
268,FETA,250.00,1046.00,15.60,1.50,20.20,14.19,7,6
269,"FETTE BISCOTTATE",410.00,1715.00,11.30,83.00,6.00,0.83,1,1
270,"FETTE BISCOTTATE, DOLCI",404.00,1690.00,10.50,81.60,6.20,0.88,1,1
271,"FETTE BISCOTTATE, INTEGRALI",365.00,1527.00,11.20,74.10,5.20,0.76,1,1
272,"FETTE BISCOTTATE, VITAMINIZZATE",410.00,1715.00,11.30,83.00,6.00,0.83,1,1
273,"FETTE DI SEGALE INTEGRALI",366.00,1531.00,7.90,65.70,1.30,0.15,1,1
274,"FICHI [FICUS CARICA]",47.00,197.00,0.90,11.20,0.20,0.04,15,9
275,"FICHI D'INDIA [OPUNTIA FICUS INDICA]",53.00,222.00,0.80,13.00,0.10,0.01,15,9
276,"FICHI SECCATI AL FORNO E MANDORLATI",277.00,1159.00,5.20,58.20,4.20,0.84,15,1
277,"FICHI SECCATI AL SOLE",232.00,971.00,3.60,52.90,2.10,0.42,15,1
278,"FICHI SECCHI",242.00,1013.00,3.50,58.00,2.70,0.54,15,1
279,"FINOCCHIO [PHOENICULUM VULGARE]",9.00,38.00,1.20,1.00,0.00,0.00,15,11
280,"FINOCCHIO [PHOENICULUM VULGARE], SEMI",345.00,1443.00,15.80,12.50,14.90,0.48,15,11
281,"FIOCCHI DI AVENA",395.00,1653.00,8.00,73.50,7.50,1.32,1,1
282,"FIOCCHI DI CRUSCA DI GRANO",319.00,1335.00,10.20,69.70,1.90,0.44,1,1
