"id";"alimento";"energia_Kcal";"energia_KJ";"prot_tot_gr";"glucidi_tot";"lipidi_tot";"saturi_tot";"fkAllergene1";"fkAllergene2";"fkAllergene3";"fkTipologiaAlimento"
114;"CACIOTTINA FRESCA";261.0;1092.0;17.3;2.0;21.3;13.22;7;0;0;6
115;"CAFFE' ALL'AMERICANA, in tazza";2.0;8.0;0.1;0.4;0.0;2.0;15;0;0;1
116;"CAFFE' BAR, in tazza";4.0;17.0;0.4;0.6;2.0;2.0;15;0;0;1
117;"CAFFE' CRUDO, in grani";190.0;795.0;11.2;6.7;13.1;5.16;15;0;0;1
118;"CAFFE' DECAFFEINATO, in tazza";4.0;17.0;0.4;0.6;2.0;2.0;15;0;0;1
119;"CAFFE' DECAFFEINATO, TOSTATO, MACINATO";287.0;1201.0;10.4;28.5;15.4;6.07;15;0;0;1
120;"CAFFE' MOKA, in tazza";4.0;17.0;0.4;0.6;2.0;2.0;15;0;0;1
121;"CAFFE' SOLUBILE, DECAFFEINATO, in polvere";224.0;937.0;13.9;42.6;0.2;0.1;15;0;0;1
122;"CAFFE' SOLUBILE, DECAFFEINATO, in tazza";2.0;2.0;0.0;2.0;2.0;0.0;15;0;0;1
123;"CAFFE' SOLUBILE, in polvere";223.0;933.0;20.4;41.1;2.0;2.0;15;0;0;1
124;"CAFFE' SOLUBILE, in tazza";2.0;2.0;0.0;2.0;2.0;0.0;15;0;0;1
125;"CAFFE' TOSTATO, MACINATO";287.0;1201.0;10.4;28.5;15.4;6.07;15;0;0;1
126;"CALAMARO [LOLIGO VULGARIS]";68.0;285.0;12.6;0.6;1.7;0.3;14;0;0;13
127;"CALAMARO SURGELATO";70.0;293.0;13.5;1.0;1.4;0.19;14;0;0;14
128;"CAMEMBERT";297.0;1243.0;20.9;2.0;23.7;14.91;7;0;0;6
129;"CANDITI";283.0;1184.0;0.5;75.0;0.0;0.0;12;0;0;1
130;"CANNELLA [CINNAMOMUM VERUM e AROMATICUM]";252.0;1054.0;3.9;55.5;3.2;0.65;15;0;0;1
131;"CANNOLI ALLA CREMA";369.0;1544.0;6.2;42.2;20.7;9.9;1;7;0;2
132;"CAPOCOLLO";450.0;1883.0;20.8;1.4;40.2;18.39;15;0;0;7
133;"CAPPERI SOTT'ACETO";20.0;84.0;2.6;2.1;0.1;0.01;12;0;0;1
134;"CAPRETTO [CAPRA HIREUS]";122.0;510.0;19.2;0.0;5.0;1.54;15;0;0;7
135;"CAPRIOLO [CERVUS spp], COSCIA";103.0;431.0;22.2;0.0;1.6;0.63;15;0;0;7
136;"CAPRIOLO [CERVUS spp], SCHIENA";122.0;510.0;22.4;0.6;3.6;1.41;15;0;0;7
137;"CARAMELLE ALLA FRUTTA";327.0;1368.0;2.8;84.2;0.0;0.0;15;0;0;1
138;"CARAMELLE ALLA MENTA";393.0;1644.0;0.5;102.7;0.7;0.18;15;0;0;1
139;"CARAMELLE DURE";343.0;1435.0;2.0;91.6;2.0;0.0;15;0;0;1
140;"CARAMELLE MORBIDE, MOU";430.0;1799.0;2.1;71.1;17.2;10.71;15;0;0;1
141;"CARCIOFI [CYNARA SCOLYMUS]";22.0;92.0;2.7;2.5;0.2;0.05;15;0;0;7
142;"CARCIOFI SURGELATI";38.0;159.0;2.6;3.9;0.4;0.1;15;0;0;12
143;"CARCIOFINI SOTT'ACETO";18.0;75.0;2.9;2.7;0.2;0.05;12;0;0;1
144;"CARCIOFINI SOTT'OLIO";68.0;285.0;1.8;2.6;5.7;0.67;15;0;0;1
145;"CARDI [CYNARA CARDUNCULUS]";10.0;42.0;0.6;1.7;0.1;0.01;15;0;0;11
146;"CAROTE [DAUCUS CAROTA]";33.0;138.0;1.1;7.6;0.0;0.0;15;0;0;11
147;"CARPA [CYPRINUS CARPIO]";140.0;586.0;18.9;0.0;7.1;1.37;4;0;0;13
148;"CASTAGNE [CASTANEA SATIVA]";189.0;791.0;3.5;42.4;1.8;0.31;8;0;0;1
149;"CASTAGNE, secche";349.0;1460.0;4.7;80.9;3.0;0.52;8;0;0;1
150;"CASTRATO [OVIS AGNUS], CARNE SEMIGRASSA";227.0;950.0;16.8;0.0;17.8;7.93;15;0;0;7
151;"CASTRATO, CARNE GRASSA";332.0;1389.0;16.5;0.0;29.5;13.93;15;0;0;7
152;"CASTRATO, CARNE MAGRA";122.0;510.0;17.0;0.0;6.0;2.83;15;0;0;7
153;"CAVALLO [EQUUS CABALUS]";113.0;473.0;21.7;0.5;2.7;0.97;15;0;0;7
154;"CAVALLO, CUORE";146.0;611.0;18.7;0.6;7.7;2.41;15;0;0;7
155;"CAVALLO, FEGATO";145.0;607.0;22.4;5.3;4.0;1.47;15;0;0;7
156;"CAVIALE";252.0;1054.0;18.9;1.9;18.8;4.26;4;0;0;13
157;"CAVOLFIORE [BRASSICA OLERACEA, CV BOTRYTIS CAULIFLAURA]";25.0;105.0;3.2;2.7;0.2;0.03;15;0;0;11
158;"CAVOLI DI BRUXELLES [BRASSICA OLERACEA, CV GEMMIFERA]";37.0;155.0;4.2;4.3;0.5;0.1;15;0;0;11
159;"CAVOLO BROCCOLO VERDE RAMOSO [BRASSICA OLERACEA CV BOTRITYS CIMOSA]";24.0;100.0;3.4;2.0;0.3;0.05;15;0;0;11
160;"CAVOLO CAPPUCCIO ROSSO [BRASSICA OLERACEA, CV CAPITATA RUBRA]";20.0;84.0;1.9;2.7;0.2;0.03;15;0;0;11
161;"CAVOLO CAPPUCCIO VERDE [BRASSICA OLERACEA, CV CAPITATA ALBA]";19.0;79.0;2.1;2.5;0.1;0.01;15;0;0;11
162;"CECI [CICER ARIETINUM], secchi";334.0;1397.0;21.8;54.3;4.9;0.63;15;0;0;1
163;"CECI IN SCATOLA";56.0;234.0;4.3;7.2;1.4;0.18;15;0;0;1
164;"CEDRO CANDITO";187.0;782.0;0.1;49.4;0.2;0.02;12;0;0;1
165;"CEFALO MUGGINE [MUGIL CEPHALUS]";127.0;531.0;15.8;0.7;6.8;1.78;4;0;0;13
166;"CEREALI AGGREGATI";342.0;1431.0;10.7;74.9;2.0;0.46;1;0;0;1
167;"CERNIA [EPINEPHELUS GUAZA]";80.0;335.0;17.9;0.6;0.7;0.16;4;0;0;13
168;"CERNIA DI FONDO [POLYPRION CERNIUM]";125.0;523.0;15.6;0.6;6.7;1.53;4;0;0;13
169;"CERNIA SURGELATA";88.0;368.0;17.0;0.6;2.0;0.46;4;0;0;13
170;"CERTOSINO";268.0;1121.0;17.5;2.0;22.0;13.65;7;0;0;6
171;"CETRIOLI [CUCUMIS SATIVUS]";14.0;59.0;0.7;1.8;0.5;0.17;15;0;0;11
172;"CETRIOLI IN SALAMOIA";14.0;59.0;0.9;2.6;0.1;0.03;15;0;0;1
173;"CETRIOLINI SOTT'ACETO";14.0;59.0;0.9;2.6;0.1;0.03;12;0;0;1
174;"CHAMPAGNE";76.0;318.0;0.3;1.4;0.0;0.0;15;0;0;1
175;"CHEDDAR";381.0;1594.0;25.0;0.5;31.0;18.52;7;0;0;6
176;"CHERRY BRANDY";255.0;1067.0;2.0;32.6;0.0;0.0;15;0;0;1
177;"CICCIOLI";523.0;2188.0;40.8;0.0;40.0;16.14;15;0;0;1
178;"CICORIA [CICHORIUM INTYBUS]";10.0;42.0;1.4;0.7;0.2;0.05;15;0;0;11
179;"CICORIA CATALOGNA [CHICORIUM INTYBUS, CV CATALOGNA]";24.0;100.0;1.8;3.2;0.5;0.12;15;0;0;11
180;"CICORIA DA TAGLIO [CHICORIUM INTYBUS, CV BARBA DI FRATE]";12.0;50.0;1.2;1.7;0.1;0.02;15;0;0;11
181;"CICORIA WITLOOF [CHICORIUM INTYBUS, CV. WITLOOF]";17.0;71.0;0.7;3.2;0.3;0.07;15;0;0;11
182;"CILIEGE [PRUNUS AVIUM]";38.0;159.0;0.8;9.0;0.1;0.02;15;0;0;9
183;"CIOCCOLATO AL LATTE";565.0;2364.0;8.9;50.8;37.6;21.93;7;0;0;6
184;"CIOCCOLATO BIANCO";529.0;2213.0;8.0;58.3;30.9;18.02;7;0;0;6
185;"CIOCCOLATO CON NOCCIOLE";571.0;2389.0;9.3;45.9;40.1;20.15;8;0;0;1
186;"CIOCCOLATO FONDENTE";542.0;2268.0;5.8;56.7;34.0;20.25;15;0;0;1
187;"CIOCCOLATO GIANDUIA";509.0;2130.0;13.1;52.7;28.8;17.15;15;0;0;1
188;"CIPOLLE [ALLIUM CEPA]";26.0;109.0;1.0;5.7;0.1;0.02;15;0;0;11
189;"CIPOLLE, secche";313.0;1310.0;10.2;68.6;1.7;0.3;15;0;0;1
190;"CIPOLLINE [ALLIUM CEPA, CV PRAECOX]";38.0;159.0;1.3;8.5;0.1;0.02;15;0;0;1
191;"CIPOLLINE SOTT'ACETO";24.0;100.0;0.9;4.9;0.2;0.03;12;0;0;1
192;"COCA COLA";39.0;163.0;2.0;10.5;0.0;0.0;15;0;0;1
193;"COCOMERO [CITRULLUS VULGARIS]";15.0;63.0;0.4;3.7;0.0;0.0;15;0;0;9
194;"COGNAC";214.0;895.0;2.0;0.9;0.0;0.0;15;0;0;1
195;"CONFETTI";441.0;1845.0;5.2;71.9;16.7;1.39;15;0;0;1
196;"CONIGLIO [ORYCTOLAGUS CUNICULUS], CARNE SEMIGRASSA";138.0;577.0;22.1;0.5;5.3;2.04;15;0;0;7
197;"CONIGLIO, CARNE GRASSA";203.0;849.0;18.1;0.4;14.4;5.55;15;0;0;7
198;"CONIGLIO, CARNE MAGRA";102.0;427.0;23.7;0.6;0.6;0.23;15;0;0;7
199;"CONIGLIO, FRATTAGLIE";147.0;615.0;18.7;0.4;7.9;3.12;15;0;0;7
200;"CONO PER GELATO";366.0;1531.0;10.1;78.8;3.3;0.49;1;0;0;1
201;"COPPA";494.0;2067.0;17.0;0.0;47.3;21.64;15;0;0;7
202;"COPPA PARMA";398.0;1665.0;23.6;0.6;33.5;10.98;15;0;0;7
203;"CORNED BEEF IN SCATOLA";219.0;916.0;23.2;0.0;14.0;5.88;15;0;0;1
204;"COTECHINO";450.0;1883.0;17.2;0.0;42.3;14.0;15;0;0;1
205;"COTECHINO, cotto";306.0;1280.0;21.1;0.0;24.7;8.18;15;0;0;1
206;"COZZA O MITILO [MYTILUS EDULIS]";84.0;351.0;11.7;3.4;2.7;0.52;14;0;0;13
207;"CRACKERS AL FORMAGGIO";502.0;2100.0;9.8;62.1;25.5;9.45;1;7;0;1
208;"CRACKERS INTEGRALI";443.0;1854.0;8.8;58.1;17.2;3.08;1;0;0;1
209;"CRACKERS NON SALATI";440.0;1841.0;9.5;68.3;16.3;3.13;1;0;0;1
210;"CRACKERS SALATI";428.0;1791.0;9.4;80.1;10.0;1.92;1;0;0;1
211;"CRACKERS SENZA GRASSI";393.0;1644.0;10.5;79.6;1.6;0.24;1;0;0;1
212;"CRACOTTE";348.0;1456.0;10.5;78.8;1.2;0.13;15;0;0;11
213;"CRAUTI";24.0;100.0;1.5;4.0;0.3;0.08;15;0;0;1
214;"CREMA DI CACAO E NOCCIOLE";537.0;2247.0;6.9;58.1;32.4;9.92;8;7;0;1
215;"CREMA PER PASTICCERIA";192.0;803.0;4.8;30.7;6.4;2.63;7;0;0;6
216;"CREME CARAMEL";109.0;456.0;3.0;20.6;2.2;1.35;3;7;0;2
217;"CRESCIONE [NASTURTIUM OFFICINALIS]";22.0;92.0;3.0;0.4;1.0;0.27;15;0;0;11
218;"CROSTATA CON MARMELLATA";339.0;1418.0;4.9;65.5;8.2;4.56;15;0;0;2
219;"CRUSCA DI GRANO";206.0;862.0;14.1;26.8;5.5;0.93;1;0;0;1
220;"CUMINO [CUMINUM CYMINUM], SEMI";375.0;1569.0;17.8;33.7;22.3;0.72;15;0;0;1
221;"DADI PER BRODO";152.0;636.0;15.7;5.0;18.7;9.09;15;0;0;2
222;"DADI PER BRODO VEGETALE";253.0;1059.0;13.5;11.6;17.3;4.33;15;0;0;2
223;"DAIKON [RAPHUS SATIVUS]";15.0;63.0;0.8;2.9;0.1;0.03;15;0;0;11
224;"DATTERI [PHOENIX DACTYLIFERA], freschi";124.0;519.0;1.5;31.3;0.1;0.04;15;0;0;1
225;"DATTERI, secchi";253.0;1059.0;2.7;63.1;0.6;0.25;15;0;0;1
226;"DENTICE [DENTEX DENTEX]";101.0;423.0;16.7;0.7;3.5;0.45;4;0;0;13
227;"DENTICE SURGELATO";103.0;431.0;17.2;0.7;3.5;0.45;4;0;0;14
228;"DOLCE VERDE";266.0;1113.0;19.1;2.5;20.0;12.41;15;0;0;6
229;"DOLCIFICANTE A BASE DI SACCARINA";397.0;1661.0;0.0;98.6;0.0;0.0;7;0;0;1
230;"DOLCIFICANTE ASPARTAME";400.0;1674.0;0.0;97.5;0.0;0.0;15;0;0;1
231;"DOLCIFICANTE FRUTTOSIO";400.0;1674.0;0.0;99.5;0.0;0.0;15;0;0;1
232;"DOLCIFICANTE SACCARINA";0.0;0.0;0.0;0.0;0.0;0.0;15;0;0;1
233;"EDAM STAGIONATO";345.0;1443.0;29.0;1.0;25.0;15.8;7;0;0;6
234;"EDAM, FRESCO";306.0;1280.0;26.0;1.0;22.0;13.14;7;0;0;6
235;"EMMENTHAL";403.0;1686.0;28.5;3.6;30.6;18.4;7;0;0;6
236;"ERBA CIPOLLINA [ALLIUM SCHOENOPRASUM], fresca";23.0;96.0;2.8;1.7;0.6;0.12;15;0;0;1
237;"ESTRATTO DI CARNE BOVINA";219.0;916.0;54.0;0.0;0.4;0.17;15;0;0;1
238;"FAGIANO [PHASIANUS COLCHICUS]";144.0;602.0;24.3;0.0;5.2;1.51;15;0;0;7
239;"FAGIOLI [PHASEOLUS VULGARIS]";104.0;435.0;6.4;19.4;0.6;0.12;15;0;0;11
240;"FAGIOLI ADUKI [VIGNA ANGULARIS], secchi";272.0;1138.0;19.9;50.1;0.5;0.19;15;0;0;1
241;"FAGIOLI IN SCATOLA";43.0;180.0;4.1;6.3;0.5;0.1;15;0;0;1
242;"FAGIOLI MUNG [PHASEOLUS AUREUS], secchi";279.0;1167.0;23.9;46.3;1.1;0.22;15;0;0;1
243;"FAGIOLI, secchi";311.0;1301.0;23.6;51.7;2.5;0.5;15;0;0;1
244;"FAGIOLINI [PHASEOLUS VULGARIS]";17.0;71.0;2.1;2.4;0.1;0.02;15;0;0;11
245;"FAGIOLINI IN SCATOLA";22.0;92.0;1.5;4.1;0.1;0.02;15;0;0;1
246;"FARAONA [NUMIDA MELEAGRIS]";158.0;661.0;23.4;0.0;6.5;1.77;15;0;0;7
247;"FARAONA, COSCIA";114.0;477.0;24.3;0.2;1.8;0.58;15;0;0;7
248;"FARAONA, PETTO";107.0;448.0;25.1;0.0;0.7;0.23;15;0;0;7
249;"FARINA DI AVENA";388.0;1623.0;12.6;72.9;7.1;1.24;1;0;0;4
250;"FARINA DI CASTAGNE";323.0;1351.0;5.8;71.6;3.7;0.64;8;0;0;1
251;"FARINA DI CECI";334.0;1397.0;21.8;54.3;4.9;0.63;15;0;0;4
252;"FARINA DI COCCO";604.0;2527.0;5.6;6.4;62.0;53.27;15;0;0;4
253;"FARINA DI FRUMENTO, INTEGRALE";321.0;1343.0;11.9;68.4;1.9;0.43;1;0;0;4
254;"FARINA DI FRUMENTO, TIPO ";343.0;1435.0;11.5;76.9;1.0;0.23;1;0;0;4
255;"FARINA DI FRUMENTO, TIPO ";343.0;1435.0;11.0;78.0;0.7;0.16;1;0;0;4
256;"FARINA DI GRANO DURO";304.0;1272.0;12.6;61.1;2.8;0.51;1;0;0;4
257;"FARINA DI GRANO SARACENO";364.0;1523.0;8.1;84.9;1.5;0.33;15;0;0;4
258;"FARINA DI MAIS";365.0;1527.0;8.7;81.5;2.7;0.34;15;0;0;4
259;"FARINA DI ORZO";360.0;1506.0;10.6;80.0;1.9;0.4;1;0;0;4
260;"FARINA DI RISO";363.0;1519.0;7.3;87.8;0.5;0.14;15;0;0;4
